# x	y	u	v	mask
  0.2736	 13.9095	  0.0000	  0.0000	  0.0000
  0.4464	 13.9095	  0.0000	  0.0000	  0.0000
  0.6192	 13.9095	  0.0000	  0.0000	  0.0000
  0.7920	 13.9095	  0.0000	  0.0000	  0.0000
  0.9647	 13.9095	  0.0000	  0.0000	  0.0000
  1.1375	 13.9095	  0.0000	  0.0000	  0.0000
  1.3103	 13.9095	  0.0000	  0.0000	  0.0000
  1.4831	 13.9095	  0.0000	  0.0000	  0.0000
  1.6559	 13.9095	  0.0000	  0.0000	  0.0000
  1.8287	 13.9095	  0.0000	  0.0000	  0.0000
  2.0015	 13.9095	  0.0000	  0.0000	  0.0000
  2.1743	 13.9095	  0.0000	  0.0000	  0.0000
  2.3471	 13.9095	  0.0000	  0.0000	  0.0000
  2.5198	 13.9095	  0.0000	  0.0000	  0.0000
  2.6926	 13.9095	  0.0000	  0.0000	  0.0000
  2.8654	 13.9095	  0.0000	  0.0000	  0.0000
  3.0382	 13.9095	  0.0000	  0.0000	  0.0000
  3.2110	 13.9095	  0.0000	  0.0000	  0.0000
  3.3838	 13.9095	  0.0000	  0.0000	  0.0000
  3.5566	 13.9095	  0.0000	  0.0000	  0.0000
  3.7294	 13.9095	  0.0000	  0.0000	  0.0000
  3.9022	 13.9095	  0.0000	  0.0000	  0.0000
  4.0749	 13.9095	  0.0000	  0.0000	  0.0000
  4.2477	 13.9095	  0.0000	  0.0000	  0.0000
  4.4205	 13.9095	 -0.0290	  0.0081	  0.0000
  4.5933	 13.9095	  0.5412	  0.6201	  0.0000
  4.7661	 13.9095	  0.5700	  0.2763	  0.0000
  4.9389	 13.9095	 -0.2379	 -1.4915	  0.0000
  5.1117	 13.9095	  1.2857	 -1.6313	  0.0000
  5.2845	 13.9095	  0.8574	 -0.0435	  0.0000
  5.4573	 13.9095	  1.8596	  0.3707	  0.0000
  5.6300	 13.9095	 -0.3102	  0.1067	  0.0000
  5.8028	 13.9095	 -0.5987	 -0.6407	  0.0000
  5.9756	 13.9095	  0.1252	  0.0166	  0.0000
  6.1484	 13.9095	  0.1097	  0.0217	  0.0000
  6.3212	 13.9095	  0.0732	  0.0231	  0.0000
  6.4940	 13.9095	  0.1290	  0.0335	  0.0000
  6.6668	 13.9095	 -0.2159	  0.0769	  0.0000
  6.8396	 13.9095	 -0.3422	  0.2428	  0.0000
  7.0124	 13.9095	 -1.7846	 -1.8847	  0.0000
  7.1851	 13.9095	 -0.0390	  0.0356	  0.0000
  7.3579	 13.9095	 -0.2113	  0.7316	  0.0000
  7.5307	 13.9095	  0.9189	 -0.5513	  0.0000
  7.7035	 13.9095	 -1.6488	  2.5710	  0.0000
  7.8763	 13.9095	 -0.8929	 -2.6024	  0.0000
  8.0491	 13.9095	  2.9601	 -4.0248	  0.0000
  8.2219	 13.9095	 -1.1056	 -0.2200	  0.0000
  8.3947	 13.9095	  0.0029	  0.0187	  0.0000
  8.5675	 13.9095	  0.5238	  0.8325	  0.0000
  8.7402	 13.9095	  0.0119	 -0.2091	  0.0000
  8.9130	 13.9095	 -0.6897	 -0.4847	  0.0000
  9.0858	 13.9095	  1.9378	  1.5169	  0.0000
  9.2586	 13.9095	  0.0000	  0.0000	  0.0000
  9.4314	 13.9095	  0.0000	  0.0000	  0.0000
  9.6042	 13.9095	  0.0000	  0.0000	  0.0000
  9.7770	 13.9095	  0.0000	  0.0000	  0.0000
  9.9498	 13.9095	  0.0000	  0.0000	  0.0000
 10.1226	 13.9095	  0.0000	  0.0000	  0.0000
 10.2954	 13.9095	  0.0000	  0.0000	  0.0000
 10.4681	 13.9095	  0.0000	  0.0000	  0.0000
 10.6409	 13.9095	  0.0000	  0.0000	  0.0000
 10.8137	 13.9095	  0.0000	  0.0000	  0.0000
 10.9865	 13.9095	  0.0000	  0.0000	  0.0000
 11.1593	 13.9095	  0.0000	  0.0000	  0.0000
 11.3321	 13.9095	  0.0000	  0.0000	  0.0000
 11.5049	 13.9095	  0.0000	  0.0000	  0.0000
 11.6777	 13.9095	  0.0000	  0.0000	  0.0000
 11.8505	 13.9095	  0.0000	  0.0000	  0.0000
 12.0232	 13.9095	  0.0000	  0.0000	  0.0000
 12.1960	 13.9095	  0.0000	  0.0000	  0.0000
 12.3688	 13.9095	  0.0000	  0.0000	  0.0000
 12.5416	 13.9095	  0.0000	  0.0000	  0.0000
 12.7144	 13.9095	  0.0000	  0.0000	  0.0000
 12.8872	 13.9095	  0.0000	  0.0000	  0.0000
 13.0600	 13.9095	  0.0000	  0.0000	  0.0000
 13.2328	 13.9095	  0.0000	  0.0000	  0.0000
 13.4056	 13.9095	  0.0000	  0.0000	  0.0000
 13.5783	 13.9095	  0.0000	  0.0000	  0.0000
 13.7511	 13.9095	  0.0000	  0.0000	  0.0000
  0.2736	 13.7367	  0.0000	  0.0000	  0.0000
  0.4464	 13.7367	  0.0000	  0.0000	  0.0000
  0.6192	 13.7367	  0.0000	  0.0000	  0.0000
  0.7920	 13.7367	  0.0000	  0.0000	  0.0000
  0.9647	 13.7367	  0.0000	  0.0000	  0.0000
  1.1375	 13.7367	  0.0000	  0.0000	  0.0000
  1.3103	 13.7367	  0.0000	  0.0000	  0.0000
  1.4831	 13.7367	  0.0000	  0.0000	  0.0000
  1.6559	 13.7367	  0.0000	  0.0000	  0.0000
  1.8287	 13.7367	  0.0000	  0.0000	  0.0000
  2.0015	 13.7367	  0.0000	  0.0000	  0.0000
  2.1743	 13.7367	  0.0000	  0.0000	  0.0000
  2.3471	 13.7367	  0.0000	  0.0000	  0.0000
  2.5198	 13.7367	  0.0000	  0.0000	  0.0000
  2.6926	 13.7367	  0.0000	  0.0000	  0.0000
  2.8654	 13.7367	  0.0000	  0.0000	  0.0000
  3.0382	 13.7367	  0.0000	  0.0000	  0.0000
  3.2110	 13.7367	  0.0000	  0.0000	  0.0000
  3.3838	 13.7367	  0.0000	  0.0000	  0.0000
  3.5566	 13.7367	  0.0000	  0.0000	  0.0000
  3.7294	 13.7367	  0.0000	  0.0000	  0.0000
  3.9022	 13.7367	  0.8147	 -0.0763	  0.0000
  4.0749	 13.7367	  0.6532	  0.2263	  0.0000
  4.2477	 13.7367	  0.4952	  0.3605	  0.0000
  4.4205	 13.7367	  5.5964	  2.0522	  0.0000
  4.5933	 13.7367	  4.6160	  2.6038	  0.0000
