# x	y	u	v	mask
  0.2275	 12.0031	  0.0000	  0.0000	  0.0000
  0.3982	 12.0031	  0.0000	  0.0000	  0.0000
  0.5689	 12.0031	  0.0000	  0.0000	  0.0000
  0.7395	 12.0031	  0.0000	  0.0000	  0.0000
  0.9102	 12.0031	  0.0000	  0.0000	  0.0000
  1.0809	 12.0031	  0.0000	  0.0000	  0.0000
  1.2515	 12.0031	  0.0000	  0.0000	  0.0000
  1.4222	 12.0031	  0.0000	  0.0000	  0.0000
  1.5928	 12.0031	  0.0000	  0.0000	  0.0000
  1.7635	 12.0031	  0.0000	  0.0000	  0.0000
  1.9342	 12.0031	  0.0000	  0.0000	  0.0000
  2.1048	 12.0031	  0.0000	  0.0000	  0.0000
  2.2755	 12.0031	  0.0000	  0.0000	  0.0000
  2.4461	 12.0031	  0.0000	  0.0000	  0.0000
  2.6168	 12.0031	  0.0000	  0.0000	  0.0000
  2.7875	 12.0031	  0.0000	  0.0000	  0.0000
  2.9581	 12.0031	  0.0000	  0.0000	  0.0000
  3.1288	 12.0031	  0.0000	  0.0000	  0.0000
  3.2994	 12.0031	  0.0000	  0.0000	  0.0000
  3.4701	 12.0031	  0.0000	  0.0000	  0.0000
  3.6408	 12.0031	 -0.1579	  0.0241	  0.0000
  3.8114	 12.0031	 -0.6060	 -0.0670	  0.0000
  3.9821	 12.0031	 -0.6120	 -0.2718	  0.0000
  4.1527	 12.0031	 -1.1417	 -0.3396	  0.0000
  4.3234	 12.0031	 -1.2083	 -0.3494	  0.0000
  4.4941	 12.0031	 -1.2268	 -0.3114	  0.0000
  4.6647	 12.0031	 -1.2450	 -0.3146	  0.0000
  4.8354	 12.0031	 -1.2320	 -0.3371	  0.0000
  5.0060	 12.0031	 -1.2311	 -0.3253	  0.0000
  5.1767	 12.0031	 -1.3348	 -0.3253	  0.0000
  5.3474	 12.0031	 -1.4524	 -0.2971	  0.0000
  5.5180	 12.0031	 -1.4305	 -0.2647	  0.0000
  5.6887	 12.0031	 -1.3133	 -0.1792	  0.0000
  5.8594	 12.0031	 -1.3462	 -0.1272	  0.0000
  6.0300	 12.0031	 -1.4481	 -0.0842	  0.0000
  6.2007	 12.0031	 -1.4385	 -0.0921	  0.0000
  6.3713	 12.0031	 -1.3678	 -0.0827	  0.0000
  6.5420	 12.0031	 -1.2462	 -0.0502	  0.0000
  6.7127	 12.0031	 -1.2797	 -0.0585	  0.0000
  6.8833	 12.0031	 -1.1995	 -0.0257	  0.0000
  7.0540	 12.0031	 -1.1627	 -0.0106	  0.0000
  7.2246	 12.0031	 -0.9564	 -0.0729	  0.0000
  7.3953	 12.0031	 -1.0421	  0.0781	  0.0000
  7.5660	 12.0031	 -1.0119	  0.3871	  0.0000
  7.7366	 12.0031	 -0.4709	  0.1020	  0.0000
  7.9073	 12.0031	  0.0554	  0.2173	  0.0000
  8.0779	 12.0031	 -0.0656	 -0.0400	  0.0000
  8.2486	 12.0031	 -0.0947	 -0.0491	  0.0000
  8.4193	 12.0031	 -0.0406	 -0.0115	  0.0000
  8.5899	 12.0031	  0.0000	  0.0000	  0.0000
  8.7606	 12.0031	  0.0000	  0.0000	  0.0000
  8.9312	 12.0031	  0.0000	  0.0000	  0.0000
  9.1019	 12.0031	  0.0000	  0.0000	  0.0000
  9.2726	 12.0031	  0.0000	  0.0000	  0.0000
  9.4432	 12.0031	  0.0000	  0.0000	  0.0000
  9.6139	 12.0031	  0.0000	  0.0000	  0.0000
  9.7845	 12.0031	  0.0000	  0.0000	  0.0000
  9.9552	 12.0031	  0.0000	  0.0000	  0.0000
 10.1259	 12.0031	  0.0000	  0.0000	  0.0000
 10.2965	 12.0031	  0.0000	  0.0000	  0.0000
 10.4672	 12.0031	  0.0000	  0.0000	  0.0000
 10.6378	 12.0031	  0.0000	  0.0000	  0.0000
 10.8085	 12.0031	  0.0000	  0.0000	  0.0000
 10.9792	 12.0031	  0.0000	  0.0000	  0.0000
 11.1498	 12.0031	  0.0000	  0.0000	  0.0000
 11.3205	 12.0031	  0.0000	  0.0000	  0.0000
 11.4912	 12.0031	  0.0000	  0.0000	  0.0000
 11.6618	 12.0031	  0.0000	  0.0000	  0.0000
 11.8325	 12.0031	  0.0000	  0.0000	  0.0000
 12.0031	 12.0031	  0.0000	  0.0000	  0.0000
  0.2275	 11.8325	  0.0000	  0.0000	  0.0000
  0.3982	 11.8325	  0.0000	  0.0000	  0.0000
  0.5689	 11.8325	  0.0000	  0.0000	  0.0000
  0.7395	 11.8325	  0.0000	  0.0000	  0.0000
  0.9102	 11.8325	  0.0000	  0.0000	  0.0000
  1.0809	 11.8325	  0.0000	  0.0000	  0.0000
  1.2515	 11.8325	  0.0000	  0.0000	  0.0000
  1.4222	 11.8325	  0.0000	  0.0000	  0.0000
  1.5928	 11.8325	  0.0000	  0.0000	  0.0000
  1.7635	 11.8325	  0.0000	  0.0000	  0.0000
  1.9342	 11.8325	  0.0000	  0.0000	  0.0000
  2.1048	 11.8325	  0.0000	  0.0000	  0.0000
  2.2755	 11.8325	  0.0000	  0.0000	  0.0000
  2.4461	 11.8325	  0.0000	  0.0000	  0.0000
  2.6168	 11.8325	  0.0000	  0.0000	  0.0000
  2.7875	 11.8325	  0.0000	  0.0000	  0.0000
  2.9581	 11.8325	  0.0000	  0.0000	  0.0000
  3.1288	 11.8325	  0.0736	  0.2937	  0.0000
  3.2994	 11.8325	 -0.6025	 -0.0778	  0.0000
  3.4701	 11.8325	 -0.6143	 -0.2029	  0.0000
  3.6408	 11.8325	 -0.8764	 -0.3947	  0.0000
  3.8114	 11.8325	 -0.9110	 -0.1367	  0.0000
  3.9821	 11.8325	 -1.3377	 -0.5209	  0.0000
