# x	y	u	v	mask
  0.2275	 12.0031	  0.0000	  0.0000	  0.0000
  0.3982	 12.0031	  0.0000	  0.0000	  0.0000
  0.5689	 12.0031	  0.0000	  0.0000	  0.0000
  0.7395	 12.0031	  0.0000	  0.0000	  0.0000
  0.9102	 12.0031	  0.0000	  0.0000	  0.0000
  1.0809	 12.0031	  0.0000	  0.0000	  0.0000
  1.2515	 12.0031	  0.0000	  0.0000	  0.0000
  1.4222	 12.0031	  0.0000	  0.0000	  0.0000
  1.5928	 12.0031	  0.0000	  0.0000	  0.0000
  1.7635	 12.0031	  0.0000	  0.0000	  0.0000
  1.9342	 12.0031	  0.0000	  0.0000	  0.0000
  2.1048	 12.0031	  0.0000	  0.0000	  0.0000
  2.2755	 12.0031	  0.0000	  0.0000	  0.0000
  2.4461	 12.0031	  0.0000	  0.0000	  0.0000
  2.6168	 12.0031	  0.0000	  0.0000	  0.0000
  2.7875	 12.0031	  0.0000	  0.0000	  0.0000
  2.9581	 12.0031	  0.0000	  0.0000	  0.0000
  3.1288	 12.0031	  0.0000	  0.0000	  0.0000
  3.2994	 12.0031	  0.0000	  0.0000	  0.0000
  3.4701	 12.0031	  0.0000	  0.0000	  0.0000
  3.6408	 12.0031	  0.0000	  0.0000	  0.0000
  3.8114	 12.0031	  0.1322	 -0.1747	  0.0000
  3.9821	 12.0031	 -0.5808	 -0.1273	  0.0000
  4.1527	 12.0031	 -0.4948	 -0.1578	  0.0000
  4.3234	 12.0031	 -0.5940	 -0.1554	  0.0000
  4.4941	 12.0031	 -0.4024	  0.1062	  0.0000
  4.6647	 12.0031	 -0.7321	 -0.0505	  0.0000
  4.8354	 12.0031	 -0.8518	 -0.1456	  0.0000
  5.0060	 12.0031	 -0.8970	 -0.1286	  0.0000
  5.1767	 12.0031	 -0.9736	 -0.1041	  0.0000
  5.3474	 12.0031	 -0.9995	 -0.0810	  0.0000
  5.5180	 12.0031	 -0.9775	 -0.0218	  0.0000
  5.6887	 12.0031	 -0.9575	 -0.0038	  0.0000
  5.8594	 12.0031	 -0.9415	  0.0132	  0.0000
  6.0300	 12.0031	 -0.8682	  0.0414	  0.0000
  6.2007	 12.0031	 -0.8386	  0.0420	  0.0000
  6.3713	 12.0031	 -0.8299	  0.0577	  0.0000
  6.5420	 12.0031	 -0.7955	  0.1761	  0.0000
  6.7127	 12.0031	 -0.8895	  0.0427	  0.0000
  6.8833	 12.0031	 -0.8762	  0.1618	  0.0000
  7.0540	 12.0031	 -0.8223	 -0.0340	  0.0000
  7.2246	 12.0031	 -0.5884	  0.3399	  0.0000
  7.3953	 12.0031	 -0.5442	  0.1429	  0.0000
  7.5660	 12.0031	 -0.8246	  0.1206	  0.0000
  7.7366	 12.0031	 -0.4249	  0.0666	  0.0000
  7.9073	 12.0031	 -0.7241	  0.1939	  0.0000
  8.0779	 12.0031	 -0.6688	 -0.0557	  0.0000
  8.2486	 12.0031	  0.1926	 -0.1042	  0.0000
  8.4193	 12.0031	  0.0795	 -0.1689	  0.0000
  8.5899	 12.0031	  0.2132	  0.0752	  0.0000
  8.7606	 12.0031	  0.0000	  0.0000	  0.0000
  8.9312	 12.0031	  0.0000	  0.0000	  0.0000
  9.1019	 12.0031	  0.0000	  0.0000	  0.0000
  9.2726	 12.0031	  0.0000	  0.0000	  0.0000
  9.4432	 12.0031	  0.0000	  0.0000	  0.0000
  9.6139	 12.0031	  0.0000	  0.0000	  0.0000
  9.7845	 12.0031	  0.0000	  0.0000	  0.0000
  9.9552	 12.0031	  0.0000	  0.0000	  0.0000
 10.1259	 12.0031	  0.0000	  0.0000	  0.0000
 10.2965	 12.0031	  0.0000	  0.0000	  0.0000
 10.4672	 12.0031	  0.0000	  0.0000	  0.0000
 10.6378	 12.0031	  0.0000	  0.0000	  0.0000
 10.8085	 12.0031	  0.0000	  0.0000	  0.0000
 10.9792	 12.0031	  0.0000	  0.0000	  0.0000
 11.1498	 12.0031	  0.0000	  0.0000	  0.0000
 11.3205	 12.0031	  0.0000	  0.0000	  0.0000
 11.4912	 12.0031	  0.0000	  0.0000	  0.0000
 11.6618	 12.0031	  0.0000	  0.0000	  0.0000
 11.8325	 12.0031	  0.0000	  0.0000	  0.0000
 12.0031	 12.0031	  0.0000	  0.0000	  0.0000
  0.2275	 11.8325	  0.0000	  0.0000	  0.0000
  0.3982	 11.8325	  0.0000	  0.0000	  0.0000
  0.5689	 11.8325	  0.0000	  0.0000	  0.0000
  0.7395	 11.8325	  0.0000	  0.0000	  0.0000
  0.9102	 11.8325	  0.0000	  0.0000	  0.0000
  1.0809	 11.8325	  0.0000	  0.0000	  0.0000
  1.2515	 11.8325	  0.0000	  0.0000	  0.0000
  1.4222	 11.8325	  0.0000	  0.0000	  0.0000
  1.5928	 11.8325	  0.0000	  0.0000	  0.0000
  1.7635	 11.8325	  0.0000	  0.0000	  0.0000
  1.9342	 11.8325	  0.0000	  0.0000	  0.0000
  2.1048	 11.8325	  0.0000	  0.0000	  0.0000
  2.2755	 11.8325	  0.0000	  0.0000	  0.0000
  2.4461	 11.8325	  0.0000	  0.0000	  0.0000
  2.6168	 11.8325	  0.0000	  0.0000	  0.0000
  2.7875	 11.8325	  0.0000	  0.0000	  0.0000
  2.9581	 11.8325	  0.0000	  0.0000	  0.0000
  3.1288	 11.8325	  0.0914	  0.2836	  0.0000
  3.2994	 11.8325	 -0.9112	 -0.0312	  0.0000
  3.4701	 11.8325	 -0.6268	 -0.0216	  0.0000
  3.6408	 11.8325	 -1.0180	  0.0004	  0.0000
  3.8114	 11.8325	 -0.7885	 -0.0452	  0.0000
  3.9821	 11.8325	 -0.6950	 -0.4740	  0.0000
