# x	y	u	v	mask
  0.2413	 11.8252	  0.0000	  0.0000	  0.0000
  0.4223	 11.8252	  0.0000	  0.0000	  0.0000
  0.6033	 11.8252	  0.0000	  0.0000	  0.0000
  0.7843	 11.8252	  0.0000	  0.0000	  0.0000
  0.9653	 11.8252	  0.0000	  0.0000	  0.0000
  1.1463	 11.8252	  0.0000	  0.0000	  0.0000
  1.3273	 11.8252	  0.0000	  0.0000	  0.0000
  1.5083	 11.8252	  0.0000	  0.0000	  0.0000
  1.6893	 11.8252	  0.0000	  0.0000	  0.0000
  1.8703	 11.8252	  0.0000	  0.0000	  0.0000
  2.0513	 11.8252	  0.0000	  0.0000	  0.0000
  2.2323	 11.8252	  0.0000	  0.0000	  0.0000
  2.4133	 11.8252	  0.0000	  0.0000	  0.0000
  2.5943	 11.8252	  0.0000	  0.0000	  0.0000
  2.7753	 11.8252	  0.0000	  0.0000	  0.0000
  2.9563	 11.8252	  0.0000	  0.0000	  0.0000
  3.1373	 11.8252	  0.0000	  0.0000	  0.0000
  3.3183	 11.8252	  0.0000	  0.0000	  0.0000
  3.4993	 11.8252	 -0.1462	 -0.0328	  0.0000
  3.6803	 11.8252	 -1.1463	 -0.2112	  0.0000
  3.8613	 11.8252	 -1.4854	 -0.3821	  0.0000
  4.0423	 11.8252	 -1.6651	 -0.3245	  0.0000
  4.2233	 11.8252	 -1.7914	 -0.4355	  0.0000
  4.4043	 11.8252	 -1.6883	 -0.4500	  0.0000
  4.5853	 11.8252	 -1.7613	 -0.5548	  0.0000
  4.7663	 11.8252	 -2.2543	 -0.5010	  0.0000
  4.9473	 11.8252	 -2.1710	 -0.3630	  0.0000
  5.1283	 11.8252	 -2.1241	 -0.2411	  0.0000
  5.3093	 11.8252	 -2.1405	 -0.1802	  0.0000
  5.4903	 11.8252	 -2.1853	 -0.1888	  0.0000
  5.6713	 11.8252	 -2.1622	 -0.1772	  0.0000
  5.8523	 11.8252	 -2.0806	 -0.0917	  0.0000
  6.0333	 11.8252	 -2.1270	 -0.0226	  0.0000
  6.2143	 11.8252	 -2.1235	  0.0173	  0.0000
  6.3953	 11.8252	 -2.0855	  0.0191	  0.0000
  6.5763	 11.8252	 -2.0607	  0.0422	  0.0000
