# x	y	u	v	mask
  0.2369	 11.6077	  0.0000	  0.0000	  0.0000
  0.3948	 11.6077	  0.0000	  0.0000	  0.0000
  0.5527	 11.6077	  0.0000	  0.0000	  0.0000
  0.7107	 11.6077	  0.0000	  0.0000	  0.0000
  0.8686	 11.6077	  0.0000	  0.0000	  0.0000
  1.0265	 11.6077	  0.0000	  0.0000	  0.0000
  1.1845	 11.6077	  0.0000	  0.0000	  0.0000
  1.3424	 11.6077	  0.0000	  0.0000	  0.0000
  1.5003	 11.6077	  0.0000	  0.0000	  0.0000
  1.6582	 11.6077	  0.0000	  0.0000	  0.0000
  1.8162	 11.6077	  0.0000	  0.0000	  0.0000
  1.9741	 11.6077	  0.0000	  0.0000	  0.0000
  2.1320	 11.6077	  0.0000	  0.0000	  0.0000
  2.2899	 11.6077	  0.0000	  0.0000	  0.0000
  2.4479	 11.6077	  0.0000	  0.0000	  0.0000
  2.6058	 11.6077	  0.0000	  0.0000	  0.0000
  2.7637	 11.6077	  0.0000	  0.0000	  0.0000
  2.9217	 11.6077	  0.0000	  0.0000	  0.0000
  3.0796	 11.6077	  0.0000	  0.0000	  0.0000
  3.2375	 11.6077	  0.0000	  0.0000	  0.0000
  3.3954	 11.6077	  0.0000	  0.0000	  0.0000
  3.5534	 11.6077	  0.0000	  0.0000	  0.0000
  3.7113	 11.6077	  0.0000	  0.0000	  0.0000
  3.8692	 11.6077	 -0.2237	 -0.1275	  0.0000
  4.0272	 11.6077	 -0.4660	  0.1579	  0.0000
  4.1851	 11.6077	 -3.3077	  0.9944	  0.0000
  4.3430	 11.6077	 -0.7882	 -0.4065	  0.0000
  4.5009	 11.6077	  0.9453	 -0.7089	  0.0000
  4.6589	 11.6077	  0.2265	 -1.4463	  0.0000
  4.8168	 11.6077	 -0.5401	 -1.0546	  0.0000
  4.9747	 11.6077	 -0.5845	 -1.2044	  0.0000
  5.1326	 11.6077	 -0.6890	 -0.2938	  0.0000
  5.2906	 11.6077	 -1.9913	 -0.1398	  0.0000
  5.4485	 11.6077	 -1.9310	 -0.0881	  0.0000
  5.6064	 11.6077	 -1.3757	 -0.3609	  0.0000
  5.7644	 11.6077	 -2.9788	 -0.2840	  0.0000
  5.9223	 11.6077	 -1.0362	 -0.7939	  0.0000
  6.0802	 11.6077	 -1.0892	  0.3371	  0.0000
  6.2381	 11.6077	  1.0802	 -0.9119	  0.0000
  6.3961	 11.6077	  0.2248	  0.1325	  0.0000
  6.5540	 11.6077	 -0.3363	  0.9625	  0.0000
  6.7119	 11.6077	 -3.7520	 -0.4645	  0.0000
  6.8698	 11.6077	 -1.0378	 -2.4910	  0.0000
  7.0278	 11.6077	  2.5964	  2.9908	  0.0000
  7.1857	 11.6077	 -1.7490	  0.6105	  0.0000
  7.3436	 11.6077	  3.4466	  0.4922	  0.0000
  7.5016	 11.6077	  1.6033	  0.5785	  0.0000
  7.6595	 11.6077	 -1.7131	 -0.1591	  0.0000
  7.8174	 11.6077	 -1.1837	  0.7101	  0.0000
  7.9753	 11.6077	  2.4426	 -0.9669	  0.0000
  8.1333	 11.6077	 -0.7535	  1.0060	  0.0000
  8.2912	 11.6077	  0.0000	  0.0000	  0.0000
  8.4491	 11.6077	  0.0000	  0.0000	  0.0000
  8.6070	 11.6077	  0.0000	  0.0000	  0.0000
  8.7650	 11.6077	  0.0000	  0.0000	  0.0000
  8.9229	 11.6077	  0.0000	  0.0000	  0.0000
  9.0808	 11.6077	  0.0000	  0.0000	  0.0000
  9.2388	 11.6077	  0.0000	  0.0000	  0.0000
  9.3967	 11.6077	  0.0000	  0.0000	  0.0000
  9.5546	 11.6077	  0.0000	  0.0000	  0.0000
  9.7125	 11.6077	  0.0000	  0.0000	  0.0000
  9.8705	 11.6077	  0.0000	  0.0000	  0.0000
 10.0284	 11.6077	  0.0000	  0.0000	  0.0000
 10.1863	 11.6077	  0.0000	  0.0000	  0.0000
 10.3442	 11.6077	  0.0000	  0.0000	  0.0000
 10.5022	 11.6077	  0.0000	  0.0000	  0.0000
 10.6601	 11.6077	  0.0000	  0.0000	  0.0000
 10.8180	 11.6077	  0.0000	  0.0000	  0.0000
 10.9760	 11.6077	  0.0000	  0.0000	  0.0000
 11.1339	 11.6077	  0.0000	  0.0000	  0.0000
 11.2918	 11.6077	  0.0000	  0.0000	  0.0000
 11.4497	 11.6077	  0.0000	  0.0000	  0.0000
 11.6077	 11.6077	  0.0000	  0.0000	  0.0000
  0.2369	 11.4497	  0.0000	  0.0000	  0.0000
  0.3948	 11.4497	  0.0000	  0.0000	  0.0000
  0.5527	 11.4497	  0.0000	  0.0000	  0.0000
  0.7107	 11.4497	  0.0000	  0.0000	  0.0000
  0.8686	 11.4497	  0.0000	  0.0000	  0.0000
  1.0265	 11.4497	  0.0000	  0.0000	  0.0000
  1.1845	 11.4497	  0.0000	  0.0000	  0.0000
  1.3424	 11.4497	  0.0000	  0.0000	  0.0000
  1.5003	 11.4497	  0.0000	  0.0000	  0.0000
  1.6582	 11.4497	  0.0000	  0.0000	  0.0000
  1.8162	 11.4497	  0.0000	  0.0000	  0.0000
  1.9741	 11.4497	  0.0000	  0.0000	  0.0000
  2.1320	 11.4497	  0.0000	  0.0000	  0.0000
  2.2899	 11.4497	  0.0000	  0.0000	  0.0000
  2.4479	 11.4497	  0.0000	  0.0000	  0.0000
  2.6058	 11.4497	  0.0000	  0.0000	  0.0000
  2.7637	 11.4497	  0.0000	  0.0000	  0.0000
  2.9217	 11.4497	  0.0000	  0.0000	  0.0000
  3.0796	 11.4497	  0.0000	  0.0000	  0.0000
  3.2375	 11.4497	  0.0000	  0.0000	  0.0000
  3.3954	 11.4497	  0.4764	 -0.3427	  0.0000
  3.5534	 11.4497	 -1.1352	 -1.8157	  0.0000
  3.7113	 11.4497	 -0.5237	  0.0812	  0.0000
  3.8692	 11.4497	  0.8448	 -0.3882	  0.0000
  4.0272	 11.4497	 -0.8111	 -1.2270	  0.0000
  4.1851	 11.4497	  0.0543	 -0.0335	  0.0000
  4.3430	 11.4497	 -1.7066	  0.0137	  0.0000
  4.5009	 11.4497	  0.8722	 -0.8488	  0.0000
  4.6589	 11.4497	 -0.2532	 -0.7231	  0.0000
  4.8168	 11.4497	 -0.0913	 -0.2459	  0.0000
  4.9747	 11.4497	  0.6412	  0.9929	  0.0000
  5.1326	 11.4497	 -1.3414	 -0.6154	  0.0000
  5.2906	 11.4497	 -2.0696	 -1.1175	  0.0000
  5.4485	 11.4497	 -1.9853	 -0.1669	  0.0000
  5.6064	 11.4497	 -2.2448	 -0.6366	  0.0000
  5.7644	 11.4497	 -2.5857	 -0.1316	  0.0000
  5.9223	 11.4497	 -0.4403	 -0.7900	  0.0000
  6.0802	 11.4497	 -0.6623	  1.6612	  0.0000
  6.2381	 11.4497	  3.0305	 -0.3114	  0.0000
  6.3961	 11.4497	 -1.7772	  0.9664	  0.0000
  6.5540	 11.4497	 -1.2729	 -3.0322	  0.0000
  6.7119	 11.4497	 -0.8723	  2.0690	  0.0000
  6.8698	 11.4497	  0.2334	  2.3098	  0.0000
  7.0278	 11.4497	  0.3621	 -3.7300	  0.0000
  7.1857	 11.4497	  0.0020	  1.1898	  0.0000
  7.3436	 11.4497	  2.8159	  1.1943	  0.0000
  7.5016	 11.4497	  1.3845	  2.6121	  0.0000
  7.6595	 11.4497	  0.9517	  1.1979	  0.0000
  7.8174	 11.4497	 -0.7156	 -2.5104	  0.0000
  7.9753	 11.4497	  1.1486	 -1.0784	  0.0000
  8.1333	 11.4497	 -1.4176	  1.5957	  0.0000
  8.2912	 11.4497	 -1.1491	  1.1115	  0.0000
  8.4491	 11.4497	 -1.5303	  1.5066	  0.0000
  8.6070	 11.4497	  0.0000	  0.0000	  0.0000
  8.7650	 11.4497	  0.0000	  0.0000	  0.0000
  8.9229	 11.4497	  0.0000	  0.0000	  0.0000
  9.0808	 11.4497	  0.0000	  0.0000	  0.0000
  9.2388	 11.4497	  0.0000	  0.0000	  0.0000
  9.3967	 11.4497	  0.0000	  0.0000	  0.0000
  9.5546	 11.4497	  0.0000	  0.0000	  0.0000
  9.7125	 11.4497	  0.0000	  0.0000	  0.0000
  9.8705	 11.4497	  0.0000	  0.0000	  0.0000
 10.0284	 11.4497	  0.0000	  0.0000	  0.0000
 10.1863	 11.4497	  0.0000	  0.0000	  0.0000
 10.3442	 11.4497	  0.0000	  0.0000	  0.0000
 10.5022	 11.4497	  0.0000	  0.0000	  0.0000
 10.6601	 11.4497	  0.0000	  0.0000	  0.0000
 10.8180	 11.4497	  0.0000	  0.0000	  0.0000
 10.9760	 11.4497	  0.0000	  0.0000	  0.0000
 11.1339	 11.4497	  0.0000	  0.0000	  0.0000
 11.2918	 11.4497	  0.0000	  0.0000	  0.0000
 11.4497	 11.4497	  0.0000	  0.0000	  0.0000
 11.6077	 11.4497	  0.0000	  0.0000	  0.0000
  0.2369	 11.2918	  0.0000	  0.0000	  0.0000
  0.3948	 11.2918	  0.0000	  0.0000	  0.0000
