# x	y	u	v	mask
  0.1938	  8.2772	 -0.0709	  0.0275	  0.0000
  0.3045	  8.2772	 -0.4190	 -0.0891	  0.0000
  0.4152	  8.2772	  0.1172	  0.1725	  0.0000
  0.5260	  8.2772	  0.1352	  0.1452	  0.0000
  0.6367	  8.2772	  0.1434	  0.1551	  0.0000
  0.7474	  8.2772	  0.0268	 -0.0595	  0.0000
  0.8582	  8.2772	  0.0114	  0.0653	  0.0000
  0.9689	  8.2772	  0.0891	  0.0585	  0.0000
  1.0796	  8.2772	  0.1252	  0.1110	  0.0000
  1.1904	  8.2772	  0.0624	  0.2413	  0.0000
  1.3011	  8.2772	  0.1704	  0.1418	  0.0000
  1.4118	  8.2772	  0.0609	  0.1344	  0.0000
  1.5226	  8.2772	  0.1645	 -0.0885	  0.0000
  1.6333	  8.2772	  0.0387	  0.0186	  0.0000
  1.7440	  8.2772	  0.3412	 -0.2062	  0.0000
  1.8548	  8.2772	  0.6347	 -0.1090	  0.0000
  1.9655	  8.2772	 -0.0600	 -0.1189	  0.0000
  2.0762	  8.2772	  0.0624	 -0.0647	  0.0000
  2.1870	  8.2772	  0.0774	 -0.2003	  0.0000
  2.2977	  8.2772	  0.2098	 -0.3230	  0.0000
  2.4084	  8.2772	 -0.6010	 -0.0524	  0.0000
  2.5192	  8.2772	 -0.0583	 -0.0080	  0.0000
  2.6299	  8.2772	 -0.3488	 -0.2411	  0.0000
  2.7406	  8.2772	 -0.3628	 -0.1847	  0.0000
  2.8514	  8.2772	 -0.5048	 -0.0037	  0.0000
  2.9621	  8.2772	 -0.3766	 -0.1530	  0.0000
  3.0728	  8.2772	 -0.7120	 -0.3071	  0.0000
  3.1836	  8.2772	 -0.8919	 -0.2585	  0.0000
  3.2943	  8.2772	 -1.0654	 -0.2662	  0.0000
  3.4050	  8.2772	 -1.1846	 -0.1791	  0.0000
  3.5157	  8.2772	 -1.2860	  0.0589	  0.0000
  3.6265	  8.2772	 -0.9051	 -0.2719	  0.0000
  3.7372	  8.2772	 -1.0658	  0.1934	  0.0000
  3.8479	  8.2772	 -1.1408	  0.0167	  0.0000
  3.9587	  8.2772	 -1.1858	 -0.2035	  0.0000
  4.0694	  8.2772	 -1.3677	 -0.0397	  0.0000
  4.1801	  8.2772	 -1.1419	 -0.0282	  0.0000
  4.2909	  8.2772	 -1.2921	  0.3158	  0.0000
  4.4016	  8.2772	 -1.7905	 -0.2587	  0.0000
  4.5123	  8.2772	 -1.5484	  0.0451	  0.0000
  4.6231	  8.2772	 -1.6578	 -0.0072	  0.0000
  4.7338	  8.2772	 -1.4123	 -0.1774	  0.0000
  4.8445	  8.2772	 -1.6356	 -0.1309	  0.0000
  4.9553	  8.2772	 -1.6650	 -0.0616	  0.0000
  5.0660	  8.2772	 -1.6157	  0.2770	  0.0000
  5.1767	  8.2772	 -1.6360	  0.1693	  0.0000
  5.2875	  8.2772	 -1.5489	 -0.1536	  0.0000
  5.3982	  8.2772	 -1.6446	  0.1296	  0.0000
  5.5089	  8.2772	 -1.2012	  0.0453	  0.0000
  5.6197	  8.2772	 -1.4058	  0.1090	  0.0000
  5.7304	  8.2772	 -1.7018	 -0.2701	  0.0000
  5.8411	  8.2772	 -1.0004	 -0.3736	  0.0000
  5.9519	  8.2772	 -1.2197	  0.1266	  0.0000
  6.0626	  8.2772	 -1.2442	  0.3165	  0.0000
  6.1733	  8.2772	 -0.9721	  0.0980	  0.0000
  6.2841	  8.2772	 -0.5782	  0.2230	  0.0000
