# x	y	u	v	mask
  0.1899	 19.7978	  0.2282	 -0.6430	  0.0000
  0.3240	 19.7978	  0.5544	  0.6429	  0.0000
  0.4581	 19.7978	 -0.7186	 -0.3246	  0.0000
  0.5921	 19.7978	 -0.1572	 -0.5193	  0.0000
  0.7262	 19.7978	 -0.9370	  1.2147	  0.0000
  0.8603	 19.7978	  0.1197	 -0.3747	  0.0000
  0.9944	 19.7978	  0.1192	 -0.3744	  0.0000
  1.1284	 19.7978	 -0.4268	 -0.3643	  0.0000
  1.2625	 19.7978	  0.1680	 -0.3018	  0.0000
  1.3966	 19.7978	  0.2637	 -0.5751	  0.0000
  1.5306	 19.7978	 -0.3028	  0.0439	  0.0000
  1.6647	 19.7978	 -0.6186	  0.1226	  0.0000
  1.7988	 19.7978	  0.0008	  0.0100	  0.0000
  1.9329	 19.7978	  0.5033	 -0.0528	  0.0000
  2.0669	 19.7978	  0.2972	 -0.0009	  0.0000
  2.2010	 19.7978	 -0.0362	 -0.2132	  0.0000
  2.3351	 19.7978	  0.4642	  0.1224	  0.0000
  2.4691	 19.7978	  0.0632	  0.1043	  0.0000
  2.6032	 19.7978	  0.0278	  0.0778	  0.0000
  2.7373	 19.7978	 -0.0804	  0.2495	  0.0000
  2.8713	 19.7978	 -0.8088	 -0.2330	  0.0000
  3.0054	 19.7978	 -0.5627	  0.2193	  0.0000
  3.1395	 19.7978	  0.3254	 -0.0574	  0.0000
  3.2736	 19.7978	  0.4250	 -0.0807	  0.0000
  3.4076	 19.7978	 -0.1447	 -0.0296	  0.0000
  3.5417	 19.7978	  0.0118	  0.1218	  0.0000
  3.6758	 19.7978	  0.1588	  0.1136	  0.0000
  3.8098	 19.7978	  0.0474	 -0.5989	  0.0000
  3.9439	 19.7978	 -0.0676	 -0.1128	  0.0000
  4.0780	 19.7978	 -0.0265	 -0.1409	  0.0000
  4.2121	 19.7978	 -0.1044	 -0.2251	  0.0000
  4.3461	 19.7978	 -0.1440	  0.0508	  0.0000
  4.4802	 19.7978	  0.8614	  0.0206	  0.0000
  4.6143	 19.7978	  0.1622	  0.0986	  0.0000
  4.7483	 19.7978	  0.3856	 -0.0273	  0.0000
  4.8824	 19.7978	  0.2663	 -0.4466	  0.0000
  5.0165	 19.7978	  0.0012	  0.0347	  0.0000
  5.1506	 19.7978	 -0.4104	  0.1329	  0.0000
  5.2846	 19.7978	 -0.0084	 -0.0803	  0.0000
  5.4187	 19.7978	  0.2732	  0.1008	  0.0000
  5.5528	 19.7978	 -0.0822	  0.0383	  0.0000
  5.6868	 19.7978	 -0.6387	  0.4679	  0.0000
  5.8209	 19.7978	 -1.6195	 -0.0112	  0.0000
  5.9550	 19.7978	 -0.3878	 -0.3555	  0.0000
  6.0890	 19.7978	 -0.2763	 -0.3573	  0.0000
  6.2231	 19.7978	 -0.6450	 -0.1555	  0.0000
  6.3572	 19.7978	  0.6055	 -0.3870	  0.0000
  6.4913	 19.7978	  0.4402	 -0.0354	  0.0000
  6.6253	 19.7978	  0.6097	 -0.2254	  0.0000
  6.7594	 19.7978	  0.4007	  0.9835	  0.0000
  6.8935	 19.7978	  0.4361	  0.9339	  0.0000
  7.0275	 19.7978	 -0.2586	  0.3185	  0.0000
  7.1616	 19.7978	  0.3117	 -0.0499	  0.0000
  7.2957	 19.7978	 -0.1387	  0.9320	  0.0000
  7.4298	 19.7978	  0.2016	  0.4853	  0.0000
  7.5638	 19.7978	  0.3757	  1.3832	  0.0000
  7.6979	 19.7978	 -0.0046	  0.0419	  0.0000
  7.8320	 19.7978	 -0.3966	  0.1397	  0.0000
  7.9660	 19.7978	 -1.0010	 -0.2027	  0.0000
  8.1001	 19.7978	  0.1876	 -0.0147	  0.0000
  8.2342	 19.7978	  0.0193	 -0.1141	  0.0000
  8.3683	 19.7978	 -0.0270	 -0.0824	  0.0000
  8.5023	 19.7978	 -0.0722	 -0.0430	  0.0000
  8.6364	 19.7978	 -0.1464	 -0.7126	  0.0000
  8.7705	 19.7978	 -0.2128	  0.0237	  0.0000
  8.9045	 19.7978	  0.1793	 -0.1336	  0.0000
  9.0386	 19.7978	 -0.0444	  0.4039	  0.0000
  9.1727	 19.7978	 -0.4795	 -0.1422	  0.0000
